Image filename,Energy mapping algorithm,Original mean energy,Seam carving mean energy,Standard resize mean energy
amalfi.jpg,Sobel,106.00545840793185,105.39244765572812,105.89241503841015
amalfi.jpg,Prewitt,106.00545840793185,105.41048242317969,105.89241503841015
amalfi.jpg,Laplacian,106.00545840793185,102.30683045779058,105.89241503841015
amalfi.jpg,Roberts,106.00545840793185,103.97489314566633,105.89241503841015
amalfi.jpg,Canny,106.00545840793185,111.4311989865147,105.89241503841015
amalfi.jpg,Forward_energy,106.00545840793185,104.94834134414663,105.89241503841015
camping.jpg,Sobel,56.934993489583334,57.12531650641026,56.86318409455128
camping.jpg,Prewitt,56.934993489583334,57.161915064102566,56.86318409455128
camping.jpg,Laplacian,56.934993489583334,58.37949018429487,56.86318409455128
camping.jpg,Roberts,56.934993489583334,57.78502303685897,56.86318409455128
camping.jpg,Canny,56.934993489583334,61.4703125,56.86318409455128
camping.jpg,Forward_energy,56.934993489583334,56.89167467948718,56.86318409455128
tower.jpg,Sobel,135.43706198608476,134.58540867992767,135.43988547317662
tower.jpg,Prewitt,135.43706198608476,134.58631042796867,135.43988547317662
tower.jpg,Laplacian,135.43706198608476,133.9414599156118,135.43988547317662
tower.jpg,Roberts,135.43706198608476,134.40334779987944,135.43988547317662
tower.jpg,Canny,135.43706198608476,133.14676431585292,135.43988547317662
tower.jpg,Forward_energy,135.43706198608476,133.98406329113925,135.43988547317662
