Image filename,Energy mapping algorithm,Original entropy,Seam carving entropy,Strandard resize entropy
amalfi.jpg,Sobel,7.825621691098867,7.858583886768566,7.830047144679296
amalfi.jpg,Prewitt,7.825621691098867,7.858521710254748,7.830047144679296
amalfi.jpg,Laplacian,7.825621691098867,7.833837684919459,7.830047144679296
amalfi.jpg,Roberts,7.825621691098867,7.848444000835746,7.830047144679296
amalfi.jpg,Canny,7.825621691098867,7.869345924878023,7.830047144679296
amalfi.jpg,Forward_energy,7.825621691098867,7.854083771641766,7.830047144679296
camping.jpg,Sobel,7.0907886332378585,7.118932336591738,7.08182800835222
camping.jpg,Prewitt,7.0907886332378585,7.118282594399052,7.08182800835222
camping.jpg,Laplacian,7.0907886332378585,7.131354090558693,7.08182800835222
camping.jpg,Roberts,7.0907886332378585,7.1155377447754,7.08182800835222
camping.jpg,Canny,7.0907886332378585,7.254127062709747,7.08182800835222
camping.jpg,Forward_energy,7.0907886332378585,7.099314183946034,7.08182800835222
tower.jpg,Sobel,7.849166708004972,7.874075236810895,7.853251671626806
tower.jpg,Prewitt,7.849166708004972,7.874223930683546,7.853251671626806
tower.jpg,Laplacian,7.849166708004972,7.879375456095858,7.853251671626806
tower.jpg,Roberts,7.849166708004972,7.875519299740512,7.853251671626806
tower.jpg,Canny,7.849166708004972,7.876000764766823,7.853251671626806
tower.jpg,Forward_energy,7.849166708004972,7.878497517623284,7.853251671626806
